기준년월,광역지자체,검색건수,지출액,방문자수,covid
2018-01-01,제주특별자치도,691998,71336264,4434512,0
2018-02-01,제주특별자치도,500204,60227797,3640700,0
2018-03-01,제주특별자치도,709919,72959390,4402679,0
2018-04-01,제주특별자치도,828569,83387754,4669075,0
2018-05-01,제주특별자치도,879703,84132033,4700279,0
2018-06-01,제주특별자치도,946908,82248355,4651075,0
2018-07-01,제주특별자치도,978145,84496205,5106289,0
2018-08-01,제주특별자치도,1216354,92718821,5612069,0
2018-09-01,제주특별자치도,899543,77380114,4709593,0
2018-10-01,제주특별자치도,881745,77964756,4752678,0
2018-11-01,제주특별자치도,744329,72780084,4188600,0
2018-12-01,제주특별자치도,801294,71959878,4114478,0
2019-01-01,제주특별자치도,853324,70986034,4578825,0
2019-02-01,제주특별자치도,856908,67800468,4275507,0
2019-03-01,제주특별자치도,917582,73634967,4853464,0
2019-04-01,제주특별자치도,958229,77445667,4575504,0
2019-05-01,제주특별자치도,1054087,81591392,4739423,0
2019-06-01,제주특별자치도,1110013,81979071,4586595,0
2019-07-01,제주특별자치도,1226686,83689639,5238610,0
2019-08-01,제주특별자치도,1629386,97049424,5964223,0
2019-09-01,제주특별자치도,1062303,70115165,4731762,0
2019-10-01,제주특별자치도,1311811,83234977,5363107,0
2019-11-01,제주특별자치도,1188916,79226667,4873559,0
2019-12-01,제주특별자치도,1254855,78727546,5036116,0
2020-01-01,제주특별자치도,1200616,72802880,4884952,0
2020-02-01,제주특별자치도,701948,42272194,3172778,0
2020-03-01,제주특별자치도,714314,39155848,2948705,0
2020-04-01,제주특별자치도,752585,43894081,2569992,979
2020-05-01,제주특별자치도,1195764,67363202,3487464,703
2020-06-01,제주특별자치도,1290576,69196929,3651489,1334
2020-07-01,제주특별자치도,1553255,79253604,4619717,1506
2020-08-01,제주특별자치도,2084404,98550631,5128000,5642
2020-09-01,제주특별자치도,1322349,62660350,3547286,3865
2020-10-01,제주특별자치도,1910120,89835330,4586429,2714
2020-11-01,제주특별자치도,1607095,91885999,4465474,7768
2020-12-01,제주특별자치도,1025906,54713103,3539240,26584
2021-01-01,제주특별자치도,827966,41357489,3108770,17494
2021-02-01,제주특별자치도,1377186,63409878,3882244,26584
2021-03-01,제주특별자치도,1618600,79755019,4809156,17494
2021-04-01,제주특별자치도,1951609,97644467,5069475,11495
2021-05-01,제주특별자치도,2083840,102115312,5340108,17902
2021-06-01,제주특별자치도,2000248,94487221,5192639,16109
2021-07-01,제주특별자치도,2022731,90141155,5671634,41401
2021-08-01,제주특별자치도,2104926,87570345,5237857,53121
2021-09-01,제주특별자치도,1702372,76882148,4531532,59899
2021-10-01,제주특별자치도,2279078,107838003,5801364,53450
2021-11-01,제주특별자치도,1929712,104974184,5615658,82565
2021-12-01,제주특별자치도,1561955,89336937,5303303,183680
2022-01-01,제주특별자치도,1584686,96497105,6044829,215009
2022-02-01,제주특별자치도,1677298,87360658,5076037,2288947
2022-03-01,제주특별자치도,1472188,84474402,4829488,9962498
2022-04-01,제주특별자치도,1939519,111394713,5404632,4143373
2022-05-01,제주특별자치도,2125472,122981102,5386174,866392
2022-06-01,제주특별자치도,2056696,119589817,5873436,256101
2022-07-01,제주특별자치도,2019917,114261166,8057212,1407983
2022-08-01,제주특별자치도,2422000,124756959,6523929,3472043
2022-09-01,제주특별자치도,1469463,88724462,5053172,1523764
2022-10-01,제주특별자치도,1936668,113085426,6104759,789036
